waktu,Muka_Air_Tanah_mean,Kedalaman_Sumur,Data_Air_Tanah
2026-01-26 07:00:00,53.4,70.0,16.6
2026-01-26 08:00:00,53.4,70.0,16.6
2026-01-26 09:00:00,53.41,70.0,16.590000000000003
2026-01-26 14:00:00,54.5,70.0,15.5
2026-01-26 15:00:00,54.5,70.0,15.5
2026-01-26 16:00:00,54.5,70.0,15.5
2026-03-06 14:00:00,54.5,70.0,15.5
2026-03-07 11:00:00,32.79,70.0,37.21
2026-03-07 12:00:00,29.13,70.0,40.870000000000005
2026-03-07 13:00:00,13.16,70.0,56.84
2026-03-07 14:00:00,13.21,70.0,56.79
2026-03-07 15:00:00,13.26,70.0,56.74
2026-03-07 16:00:00,13.3,70.0,56.7
2026-03-07 17:00:00,13.33,70.0,56.67
2026-03-07 18:00:00,13.37,70.0,56.63
2026-03-07 19:00:00,13.41,70.0,56.59
2026-03-07 20:00:00,13.46,70.0,56.54
2026-03-07 21:00:00,13.5,70.0,56.5
2026-03-07 22:00:00,13.48,70.0,56.519999999999996
2026-03-07 23:00:00,13.16,70.0,56.84
2026-03-08 00:00:00,13.05,70.0,56.95
2026-03-08 01:00:00,13.02,70.0,56.980000000000004
2026-03-08 02:00:00,13.02,70.0,56.980000000000004
2026-03-08 03:00:00,13.02,70.0,56.980000000000004
2026-03-08 04:00:00,13.02,70.0,56.980000000000004
2026-03-08 05:00:00,13.04,70.0,56.96
2026-03-08 06:00:00,13.05,70.0,56.95
2026-03-08 07:00:00,12.94,70.0,57.06
2026-03-08 08:00:00,12.86,70.0,57.14
2026-03-08 09:00:00,12.83,70.0,57.17
2026-03-08 10:00:00,12.83,70.0,57.17
2026-03-08 11:00:00,12.85,70.0,57.15
2026-03-08 12:00:00,12.88,70.0,57.12
2026-03-08 13:00:00,12.9,70.0,57.1
2026-03-08 14:00:00,12.94,70.0,57.06
2026-03-08 15:00:00,12.97,70.0,57.03
2026-03-08 16:00:00,13.01,70.0,56.99
2026-03-08 17:00:00,13.03,70.0,56.97
2026-03-08 18:00:00,13.06,70.0,56.94
2026-03-08 19:00:00,13.09,70.0,56.91
2026-03-08 20:00:00,13.05,70.0,56.95
2026-03-08 21:00:00,12.92,70.0,57.08
2026-03-08 22:00:00,12.86,70.0,57.14
2026-03-08 23:00:00,12.81,70.0,57.19
2026-03-09 00:00:00,12.81,70.0,57.19
2026-03-09 01:00:00,12.81,70.0,57.19
2026-03-09 02:00:00,12.8,70.0,57.2
2026-03-09 03:00:00,12.79,70.0,57.21
2026-03-09 04:00:00,12.79,70.0,57.21
2026-03-09 05:00:00,12.79,70.0,57.21
2026-03-09 06:00:00,12.81,70.0,57.19
2026-03-09 07:00:00,12.83,70.0,57.17
2026-03-09 08:00:00,12.87,70.0,57.13
2026-03-09 09:00:00,12.91,70.0,57.09
2026-03-09 10:00:00,12.94,70.0,57.06
2026-03-09 11:00:00,12.98,70.0,57.019999999999996
2026-03-09 12:00:00,13.01,70.0,56.99
2026-03-09 13:00:00,13.05,70.0,56.95
2026-03-09 14:00:00,13.09,70.0,56.91
2026-03-09 15:00:00,13.13,70.0,56.87
2026-03-09 16:00:00,13.16,70.0,56.84
2026-03-09 17:00:00,13.2,70.0,56.8
2026-03-09 18:00:00,13.24,70.0,56.76
2026-03-09 19:00:00,13.28,70.0,56.72
2026-03-09 20:00:00,13.32,70.0,56.68
2026-03-09 21:00:00,13.36,70.0,56.64
2026-03-09 22:00:00,13.4,70.0,56.6
2026-03-09 23:00:00,13.43,70.0,56.57
2026-03-10 00:00:00,13.47,70.0,56.53
2026-03-10 01:00:00,13.5,70.0,56.5
2026-03-10 02:00:00,13.54,70.0,56.46
2026-03-10 03:00:00,13.57,70.0,56.43
2026-03-10 04:00:00,13.6,70.0,56.4
2026-03-10 05:00:00,13.64,70.0,56.36
2026-03-10 06:00:00,13.68,70.0,56.32
2026-03-10 07:00:00,13.73,70.0,56.269999999999996
2026-03-10 08:00:00,13.78,70.0,56.22
2026-03-10 09:00:00,13.82,70.0,56.18
2026-03-10 10:00:00,13.86,70.0,56.14
2026-03-10 11:00:00,13.91,70.0,56.09
2026-03-10 12:00:00,13.95,70.0,56.05
2026-03-10 13:00:00,13.99,70.0,56.01
2026-03-10 14:00:00,14.02,70.0,55.980000000000004
2026-03-10 15:00:00,14.06,70.0,55.94
2026-03-10 16:00:00,14.1,70.0,55.9
2026-03-10 17:00:00,14.15,70.0,55.85
2026-03-10 18:00:00,14.2,70.0,55.8
2026-03-10 19:00:00,14.25,70.0,55.75
2026-03-10 20:00:00,14.29,70.0,55.71
2026-03-10 21:00:00,14.34,70.0,55.66
2026-03-10 22:00:00,14.38,70.0,55.62
2026-03-10 23:00:00,14.43,70.0,55.57
2026-03-11 00:00:00,14.48,70.0,55.519999999999996
2026-03-11 01:00:00,14.52,70.0,55.480000000000004
2026-03-11 02:00:00,14.56,70.0,55.44
2026-03-11 03:00:00,14.59,70.0,55.41
2026-03-11 04:00:00,14.62,70.0,55.38
2026-03-11 05:00:00,14.65,70.0,55.35
2026-03-11 06:00:00,14.69,70.0,55.31
2026-03-11 07:00:00,14.72,70.0,55.28
2026-03-11 08:00:00,14.76,70.0,55.24
2026-03-11 09:00:00,14.8,70.0,55.2
2026-03-11 10:00:00,14.83,70.0,55.17
2026-03-11 11:00:00,14.86,70.0,55.14
2026-03-11 12:00:00,14.89,70.0,55.11
2026-03-11 13:00:00,14.92,70.0,55.08
2026-03-11 14:00:00,14.94,70.0,55.06
2026-03-11 15:00:00,14.96,70.0,55.04
2026-03-11 16:00:00,14.98,70.0,55.019999999999996
2026-03-11 17:00:00,15.01,70.0,54.99
2026-03-11 18:00:00,15.04,70.0,54.96
2026-03-11 19:00:00,15.08,70.0,54.92
2026-03-11 20:00:00,15.12,70.0,54.88
2026-03-11 21:00:00,15.15,70.0,54.85
2026-03-11 22:00:00,15.19,70.0,54.81
2026-03-11 23:00:00,15.22,70.0,54.78
2026-03-12 00:00:00,15.25,70.0,54.75
2026-03-12 01:00:00,15.27,70.0,54.730000000000004
2026-03-12 02:00:00,15.29,70.0,54.71
2026-03-12 03:00:00,15.31,70.0,54.69
2026-03-12 04:00:00,15.33,70.0,54.67
2026-03-12 05:00:00,15.36,70.0,54.64
2026-03-12 06:00:00,15.38,70.0,54.62
2026-03-12 07:00:00,15.41,70.0,54.59
2026-03-12 08:00:00,15.44,70.0,54.56
2026-03-12 09:00:00,15.46,70.0,54.54
2026-03-12 10:00:00,15.48,70.0,54.519999999999996
2026-03-12 11:00:00,15.51,70.0,54.49
2026-03-12 12:00:00,15.52,70.0,54.480000000000004
2026-03-12 13:00:00,15.54,70.0,54.46
2026-03-12 14:00:00,15.55,70.0,54.45
2026-03-12 15:00:00,30.31,70.0,39.69
2026-03-12 16:00:00,34.8,70.0,35.2
2026-03-12 17:00:00,34.8,70.0,35.2
2026-03-12 18:00:00,34.8,70.0,35.2
2026-03-12 19:00:00,34.8,70.0,35.2
2026-03-12 20:00:00,34.8,70.0,35.2
2026-03-12 21:00:00,26.21,70.0,43.79
2026-03-12 22:00:00,15.71,70.0,54.29
2026-03-12 23:00:00,15.73,70.0,54.269999999999996
2026-03-13 00:00:00,15.73,70.0,54.269999999999996
2026-03-13 01:00:00,15.74,70.0,54.26
2026-03-13 02:00:00,15.75,70.0,54.25
2026-03-13 03:00:00,15.76,70.0,54.24
2026-03-13 04:00:00,15.77,70.0,54.230000000000004
2026-03-13 05:00:00,15.78,70.0,54.22
2026-03-13 06:00:00,15.8,70.0,54.2
2026-03-13 07:00:00,15.81,70.0,54.19
2026-03-13 08:00:00,15.82,70.0,54.18
2026-03-13 09:00:00,15.84,70.0,54.16
2026-03-13 10:00:00,15.85,70.0,54.15
2026-03-13 11:00:00,15.85,70.0,54.15
2026-03-13 12:00:00,15.86,70.0,54.14
2026-03-13 13:00:00,15.86,70.0,54.14
2026-03-13 14:00:00,15.86,70.0,54.14
2026-03-13 15:00:00,15.87,70.0,54.13
2026-03-13 16:00:00,15.87,70.0,54.13
2026-03-13 17:00:00,15.88,70.0,54.12
2026-03-13 18:00:00,15.9,70.0,54.1
2026-03-13 19:00:00,15.91,70.0,54.09
2026-03-13 20:00:00,15.92,70.0,54.08
2026-03-13 21:00:00,15.94,70.0,54.06
2026-03-13 22:00:00,15.95,70.0,54.05
2026-03-13 23:00:00,15.96,70.0,54.04
2026-03-14 00:00:00,15.96,70.0,54.04
2026-03-14 01:00:00,15.97,70.0,54.03
2026-03-14 02:00:00,15.97,70.0,54.03
2026-03-14 03:00:00,15.98,70.0,54.019999999999996
2026-03-14 04:00:00,15.98,70.0,54.019999999999996
2026-03-14 05:00:00,15.99,70.0,54.01
2026-03-14 06:00:00,16.0,70.0,54.0
2026-03-14 07:00:00,16.01,70.0,53.989999999999995
2026-03-14 08:00:00,16.02,70.0,53.980000000000004
2026-03-14 09:00:00,16.04,70.0,53.96
2026-03-14 10:00:00,16.05,70.0,53.95
2026-03-14 11:00:00,16.05,70.0,53.95
2026-03-14 12:00:00,16.05,70.0,53.95
2026-03-14 13:00:00,16.05,70.0,53.95
2026-03-14 14:00:00,16.05,70.0,53.95
2026-03-14 15:00:00,16.05,70.0,53.95
2026-03-14 16:00:00,16.05,70.0,53.95
2026-03-14 17:00:00,16.06,70.0,53.94
2026-03-14 18:00:00,16.07,70.0,53.93
2026-03-14 19:00:00,16.08,70.0,53.92
2026-03-14 20:00:00,16.1,70.0,53.9
2026-03-14 21:00:00,16.11,70.0,53.89
2026-03-14 22:00:00,16.12,70.0,53.879999999999995
2026-03-14 23:00:00,16.13,70.0,53.870000000000005
2026-03-15 00:00:00,16.13,70.0,53.870000000000005
2026-03-15 01:00:00,16.13,70.0,53.870000000000005
2026-03-15 02:00:00,16.13,70.0,53.870000000000005
2026-03-15 03:00:00,16.14,70.0,53.86
2026-03-15 04:00:00,16.14,70.0,53.86
2026-03-15 05:00:00,16.14,70.0,53.86
2026-03-15 06:00:00,16.15,70.0,53.85
2026-03-15 07:00:00,16.16,70.0,53.84
2026-03-15 08:00:00,16.17,70.0,53.83
2026-03-15 09:00:00,16.17,70.0,53.83
2026-03-15 10:00:00,16.18,70.0,53.82
2026-03-15 11:00:00,16.18,70.0,53.82
2026-03-15 12:00:00,16.18,70.0,53.82
2026-03-15 13:00:00,16.18,70.0,53.82
2026-03-15 14:00:00,16.17,70.0,53.83
2026-03-15 15:00:00,16.17,70.0,53.83
2026-03-15 16:00:00,16.17,70.0,53.83
2026-03-15 17:00:00,16.17,70.0,53.83
2026-03-15 18:00:00,16.18,70.0,53.82
2026-03-15 19:00:00,16.2,70.0,53.8
2026-03-15 20:00:00,16.21,70.0,53.79
2026-03-15 21:00:00,16.22,70.0,53.78
2026-03-15 22:00:00,16.23,70.0,53.769999999999996
2026-03-15 23:00:00,16.23,70.0,53.769999999999996
2026-03-16 00:00:00,16.23,70.0,53.769999999999996
2026-03-16 01:00:00,16.23,70.0,53.769999999999996
2026-03-16 02:00:00,16.22,70.0,53.78
2026-03-16 03:00:00,16.22,70.0,53.78
2026-03-16 04:00:00,16.23,70.0,53.769999999999996
2026-03-16 05:00:00,16.23,70.0,53.769999999999996
2026-03-16 06:00:00,16.23,70.0,53.769999999999996
2026-03-16 07:00:00,16.24,70.0,53.760000000000005
2026-03-16 08:00:00,16.25,70.0,53.75
2026-03-16 09:00:00,16.25,70.0,53.75
2026-03-16 10:00:00,16.25,70.0,53.75
2026-03-16 11:00:00,16.25,70.0,53.75
2026-03-16 12:00:00,16.25,70.0,53.75
2026-03-16 13:00:00,16.25,70.0,53.75
2026-03-16 14:00:00,16.25,70.0,53.75
2026-03-16 15:00:00,16.24,70.0,53.760000000000005
2026-03-16 16:00:00,16.24,70.0,53.760000000000005
2026-03-16 17:00:00,16.24,70.0,53.760000000000005
2026-03-16 18:00:00,16.25,70.0,53.75
2026-03-16 19:00:00,16.25,70.0,53.75
2026-03-16 20:00:00,16.27,70.0,53.730000000000004
2026-03-16 21:00:00,16.28,70.0,53.72
2026-03-16 22:00:00,16.29,70.0,53.71
2026-03-16 23:00:00,16.29,70.0,53.71
2026-03-17 00:00:00,16.3,70.0,53.7
2026-03-17 01:00:00,16.29,70.0,53.71
2026-03-17 02:00:00,16.29,70.0,53.71
2026-03-17 03:00:00,16.29,70.0,53.71
2026-03-17 04:00:00,16.28,70.0,53.72
2026-03-17 05:00:00,16.29,70.0,53.71
2026-03-17 06:00:00,16.29,70.0,53.71
2026-03-17 07:00:00,16.3,70.0,53.7
2026-03-17 08:00:00,16.31,70.0,53.69
2026-03-17 09:00:00,16.32,70.0,53.68
2026-03-17 10:00:00,16.33,70.0,53.67
2026-03-17 11:00:00,16.32,70.0,53.68
2026-03-17 12:00:00,16.32,70.0,53.68
2026-03-17 13:00:00,16.32,70.0,53.68
2026-03-17 14:00:00,16.31,70.0,53.69
2026-03-17 15:00:00,16.3,70.0,53.7
2026-03-17 16:00:00,16.3,70.0,53.7
2026-03-17 17:00:00,16.3,70.0,53.7
2026-03-17 18:00:00,16.31,70.0,53.69
2026-03-17 19:00:00,16.32,70.0,53.68
2026-03-17 20:00:00,16.33,70.0,53.67
2026-03-17 21:00:00,16.34,70.0,53.66
2026-03-17 22:00:00,16.35,70.0,53.65
2026-03-17 23:00:00,16.35,70.0,53.65
2026-03-18 00:00:00,16.35,70.0,53.65
2026-03-18 01:00:00,16.35,70.0,53.65
2026-03-18 02:00:00,16.35,70.0,53.65
2026-03-18 03:00:00,16.35,70.0,53.65
2026-03-18 04:00:00,16.35,70.0,53.65
2026-03-18 05:00:00,16.35,70.0,53.65
2026-03-18 06:00:00,16.35,70.0,53.65
2026-03-18 07:00:00,16.36,70.0,53.64
2026-03-18 08:00:00,16.37,70.0,53.629999999999995
2026-03-18 09:00:00,16.38,70.0,53.620000000000005
2026-03-18 10:00:00,16.38,70.0,53.620000000000005
2026-03-18 11:00:00,16.39,70.0,53.61
2026-03-18 12:00:00,16.38,70.0,53.620000000000005
2026-03-18 13:00:00,16.38,70.0,53.620000000000005
2026-03-18 14:00:00,16.37,70.0,53.629999999999995
2026-03-18 15:00:00,16.37,70.0,53.629999999999995
2026-03-18 16:00:00,16.37,70.0,53.629999999999995
2026-03-18 17:00:00,16.37,70.0,53.629999999999995
2026-03-18 18:00:00,16.38,70.0,53.620000000000005
2026-03-18 19:00:00,16.39,70.0,53.61
2026-03-18 20:00:00,16.4,70.0,53.6
2026-03-18 21:00:00,16.4,70.0,53.6
2026-03-18 22:00:00,16.41,70.0,53.59
2026-03-18 23:00:00,16.41,70.0,53.59
2026-03-19 00:00:00,16.41,70.0,53.59
2026-03-19 01:00:00,16.41,70.0,53.59
2026-03-19 02:00:00,16.41,70.0,53.59
2026-03-19 03:00:00,16.41,70.0,53.59
2026-03-19 04:00:00,16.4,70.0,53.6
2026-03-19 05:00:00,16.4,70.0,53.6
2026-03-19 06:00:00,16.41,70.0,53.59
2026-03-19 07:00:00,16.41,70.0,53.59
2026-03-19 08:00:00,16.42,70.0,53.58
2026-03-19 09:00:00,16.43,70.0,53.57
2026-03-19 10:00:00,16.44,70.0,53.56
2026-03-19 11:00:00,16.44,70.0,53.56
2026-03-19 12:00:00,16.43,70.0,53.57
2026-03-19 13:00:00,16.43,70.0,53.57
2026-03-19 14:00:00,16.42,70.0,53.58
2026-03-19 15:00:00,16.42,70.0,53.58
2026-03-19 16:00:00,16.41,70.0,53.59
2026-03-19 17:00:00,16.41,70.0,53.59
2026-03-19 18:00:00,16.42,70.0,53.58
2026-03-19 19:00:00,16.43,70.0,53.57
2026-03-19 20:00:00,16.44,70.0,53.56
2026-03-19 21:00:00,16.45,70.0,53.55
2026-03-19 22:00:00,16.46,70.0,53.54
2026-03-19 23:00:00,16.47,70.0,53.53
2026-03-20 00:00:00,16.47,70.0,53.53
2026-03-20 01:00:00,16.47,70.0,53.53
2026-03-20 02:00:00,16.46,70.0,53.54
2026-03-20 03:00:00,16.46,70.0,53.54
2026-03-20 04:00:00,16.46,70.0,53.54
2026-03-20 05:00:00,16.46,70.0,53.54
2026-03-20 06:00:00,16.46,70.0,53.54
2026-03-20 07:00:00,16.47,70.0,53.53
2026-03-20 08:00:00,16.47,70.0,53.53
2026-03-20 09:00:00,16.48,70.0,53.519999999999996
2026-03-20 10:00:00,16.48,70.0,53.519999999999996
2026-03-20 11:00:00,16.48,70.0,53.519999999999996
2026-03-20 12:00:00,16.48,70.0,53.519999999999996
2026-03-20 13:00:00,16.47,70.0,53.53
2026-03-20 14:00:00,16.46,70.0,53.54
2026-03-20 15:00:00,16.46,70.0,53.54
2026-03-20 16:00:00,16.46,70.0,53.54
2026-03-20 17:00:00,16.46,70.0,53.54
2026-03-20 18:00:00,16.46,70.0,53.54
2026-03-20 19:00:00,16.48,70.0,53.519999999999996
2026-03-20 20:00:00,16.49,70.0,53.510000000000005
2026-03-20 21:00:00,16.5,70.0,53.5
2026-03-20 22:00:00,16.51,70.0,53.489999999999995
2026-03-20 23:00:00,16.51,70.0,53.489999999999995
2026-03-21 00:00:00,16.51,70.0,53.489999999999995
2026-03-21 01:00:00,16.51,70.0,53.489999999999995
2026-03-21 02:00:00,16.51,70.0,53.489999999999995
2026-03-21 03:00:00,16.5,70.0,53.5
2026-03-21 04:00:00,16.5,70.0,53.5
2026-03-21 05:00:00,16.51,70.0,53.489999999999995
2026-03-21 06:00:00,16.51,70.0,53.489999999999995
2026-03-21 07:00:00,16.51,70.0,53.489999999999995
2026-03-21 08:00:00,16.52,70.0,53.480000000000004
2026-03-21 09:00:00,16.52,70.0,53.480000000000004
2026-03-21 10:00:00,16.53,70.0,53.47
2026-03-21 11:00:00,16.53,70.0,53.47
2026-03-21 12:00:00,16.52,70.0,53.480000000000004
2026-03-21 13:00:00,16.52,70.0,53.480000000000004
2026-03-21 14:00:00,16.51,70.0,53.489999999999995
2026-03-21 15:00:00,16.51,70.0,53.489999999999995
2026-03-21 16:00:00,16.51,70.0,53.489999999999995
2026-03-21 17:00:00,16.51,70.0,53.489999999999995
2026-03-21 18:00:00,16.51,70.0,53.489999999999995
2026-03-21 19:00:00,16.52,70.0,53.480000000000004
2026-03-21 20:00:00,16.52,70.0,53.480000000000004
2026-03-21 21:00:00,16.53,70.0,53.47
2026-03-21 22:00:00,16.53,70.0,53.47
2026-03-21 23:00:00,16.54,70.0,53.46
2026-03-22 00:00:00,16.54,70.0,53.46
2026-03-22 01:00:00,16.54,70.0,53.46
2026-03-22 02:00:00,16.53,70.0,53.47
2026-03-22 03:00:00,16.53,70.0,53.47
2026-03-22 04:00:00,16.53,70.0,53.47
2026-03-22 05:00:00,16.53,70.0,53.47
2026-03-22 06:00:00,16.53,70.0,53.47
2026-03-22 07:00:00,16.54,70.0,53.46
2026-03-22 08:00:00,16.55,70.0,53.45
2026-03-22 09:00:00,16.55,70.0,53.45
2026-03-22 10:00:00,16.56,70.0,53.44
2026-03-22 11:00:00,16.56,70.0,53.44
2026-03-25 15:00:00,16.63,70.0,53.370000000000005
2026-03-25 16:00:00,16.63,70.0,53.370000000000005
2026-03-25 17:00:00,16.63,70.0,53.370000000000005
2026-03-25 18:00:00,16.64,70.0,53.36
2026-03-25 19:00:00,16.64,70.0,53.36
2026-03-25 20:00:00,16.65,70.0,53.35
2026-03-25 21:00:00,16.65,70.0,53.35
2026-03-25 22:00:00,16.66,70.0,53.34
2026-03-25 23:00:00,16.66,70.0,53.34
2026-03-26 00:00:00,16.66,70.0,53.34
2026-03-26 01:00:00,16.66,70.0,53.34
2026-03-26 02:00:00,16.66,70.0,53.34
2026-03-26 03:00:00,16.65,70.0,53.35
2026-03-26 04:00:00,16.65,70.0,53.35
2026-03-26 05:00:00,16.65,70.0,53.35
2026-03-26 06:00:00,16.66,70.0,53.34
2026-03-26 07:00:00,16.66,70.0,53.34
2026-03-26 08:00:00,16.67,70.0,53.33
2026-03-26 09:00:00,16.68,70.0,53.32
2026-03-26 10:00:00,16.68,70.0,53.32
2026-03-26 11:00:00,16.68,70.0,53.32
2026-03-26 12:00:00,16.68,70.0,53.32
2026-03-26 13:00:00,16.68,70.0,53.32
2026-03-26 14:00:00,16.67,70.0,53.33
2026-03-26 15:00:00,16.67,70.0,53.33
2026-03-26 16:00:00,16.67,70.0,53.33
2026-03-26 17:00:00,16.67,70.0,53.33
2026-03-26 18:00:00,16.68,70.0,53.32
2026-03-26 19:00:00,16.68,70.0,53.32
2026-03-26 20:00:00,16.69,70.0,53.31
2026-03-26 21:00:00,16.69,70.0,53.31
2026-03-26 22:00:00,16.7,70.0,53.3
2026-03-26 23:00:00,16.7,70.0,53.3
2026-03-27 00:00:00,16.7,70.0,53.3
2026-03-27 01:00:00,16.7,70.0,53.3
2026-03-27 02:00:00,16.7,70.0,53.3
2026-03-27 03:00:00,16.69,70.0,53.31
2026-03-27 04:00:00,16.44,70.0,53.56
2026-03-27 05:00:00,16.44,70.0,53.56
2026-03-27 06:00:00,16.55,70.0,53.45
2026-03-27 07:00:00,16.62,70.0,53.379999999999995
2026-03-27 08:00:00,16.65,70.0,53.35
2026-03-27 09:00:00,16.67,70.0,53.33
2026-03-27 10:00:00,16.67,70.0,53.33
2026-03-27 11:00:00,16.68,70.0,53.32
2026-03-27 12:00:00,16.67,70.0,53.33
2026-03-27 13:00:00,16.67,70.0,53.33
2026-03-27 14:00:00,16.66,70.0,53.34
2026-03-27 15:00:00,16.66,70.0,53.34
2026-03-27 16:00:00,16.65,70.0,53.35
2026-03-27 17:00:00,16.66,70.0,53.34
2026-03-27 18:00:00,16.67,70.0,53.33
2026-03-27 19:00:00,16.68,70.0,53.32
